T0,Vmax,Cma,Cmb
12,4.847809089,1.9,0.3
12,21.16996567,1.2,0.5
12,45.86554665,1.48,2.14
12,76.10604185,2.24,0
12,115.5737891,2.34,0
12,151.0720393,2.64,0
12,201.280454,2.66,0
