T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
9,0,57713,178,528,840,566,1224,0,-0.33199972,-0.006999994,-0.441999627,0.571999517,-1.009999147
9,0,40000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159,-3.14159
9,0,60000,2000,2000,2000,2000,2000,0,0,0,0,0,0
9,0,80000,4000,4000,4000,4000,4000,0,3.15159,3.15159,3.15159,3.15159,3.15159
