T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
9,0,53198,11584,528,699,1009,861,0,-0.854999278,-0.216999817,-1.421998799,-0.412999651,0.450999619
9,0,40000,4000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
9,0,55000,10000,3000,3000,3000,3000,0,-1.5,0,0,0,0
9,0,70000,20000,5000,5000,5000,5000,0,-2.5,3.15159,3.15159,3.15159,3.15159
