y[cm],u[cm/s],v[cm/s],vorticity[1/s]
39.411057238979,23.195358523033665,-0.5250302099703333,-26.805861996143665
39.139256844979,24.501615787851666,-0.360676418924,-24.776211120232333
38.867456449978,25.70793593703033,-0.24235710553,-22.775069964800668
38.595656054981,26.87906466665967,-0.24387221070433332,-19.024557123342998
38.323855659981,27.769110493223,-0.249757474859,-14.642657069499998
38.052055265981,28.444457570969334,-0.2686338159823333,-11.777667988889666
37.78025487098,29.009873037178,-0.2848377286386667,-10.33658017185
37.508454475981,29.538341821428663,-0.30187750061799995,-9.634619306393667
37.236654081981,30.018600487767667,-0.321024053148,-8.804786895017665
36.964853686979,30.450562133443338,-0.3326789263,-8.030798572232
36.69305329198,30.850522500504002,-0.3431171517943333,-7.3958069891993325
36.421252896981,31.213962910783,-0.35152314351633335,-6.685205057845667
36.149452502979,31.549502710769,-0.364689580597,-6.194215003135334
35.877652107981,31.861338603951335,-0.37710436132866665,-5.754651331759667
35.605851712977,32.149701342916664,-0.38482169587933335,-5.4619295647433335
35.334051317981,32.419433747063664,-0.38123478744966666,-5.155597533668
35.062250923977,32.68183217886167,-0.37556053245433335,-4.855190289632333
34.79045052898,32.932942493587,-0.369869986436,-4.689915835708667
34.518650133976,33.175073224422995,-0.36631859096833336,-4.669205507341333
34.246849739983,33.41621968499433,-0.36192876677400004,-4.610598474928
33.975049344978,33.652510170838,-0.3563371991206667,-4.458837722080333
33.703248949982,33.88213058817333,-0.3483770197746667,-4.3367354089736665
33.431448554976,34.10649428865167,-0.3421354902416667,-4.316530587603666
33.159648160982,34.32736334882333,-0.33137002799500004,-4.1977738171370005
32.887847765976,34.539005855477,-0.3201423616253334,-3.976073666175667
32.616047370981,34.743857520253336,-0.311364252558,-3.8841469528489996
32.344246973985,34.946464492368996,-0.30268278756399997,-3.9567693017409997
32.07244658398,35.151558492135,-0.291925837765,-3.9060663744929998
31.800646183983,35.356394384426004,-0.2783852756233333,-3.8881333610056665
31.52884579398,35.55331659369367,-0.26771607110833334,-3.8185883392803333
31.257045393983002,35.748287139033,-0.2540868345173333,-3.6890586300116666
30.985245003977,35.934966942919665,-0.23851579539033332,-3.553132136125333
30.713444603979,36.11701378642667,-0.22101218232633335,-3.541157859185333
30.44164421398,36.303542436711005,-0.20864569771833333,-3.490423466382667
30.169843813983004,36.47906574163667,-0.2045460101776667,-3.318634265916
29.898043423975,36.64392220441733,-0.19572205490733333,-3.1874987716363337
29.626243033978,36.807328149955666,-0.18235618251233335,-3.0537944067153333
29.354442633981005,36.96605665381467,-0.17120116143133335,-3.100743262405
29.082642243984,37.128073911082,-0.16002973122800002,-3.1990391237380003
28.810841843975,37.28957398272333,-0.14960861312233334,-3.2193162540533335
28.539041453976,37.45393397568233,-0.13938774573066667,-3.121210564887667
28.267241053978996,37.613008162304,-0.12156222231633333,-2.9878632188686667
27.995440663982,37.76874462420133,-0.10855566136999999,-2.963850247856667
27.723640263978997,37.91848774164567,-0.09436532328233332,-2.867165978284666
27.451839873973,38.061522268447334,-0.07824264568133334,-2.787808118961
27.180039473985,38.20363170284467,-0.06493601874766668,-2.7386273682686664
26.908239083979,38.344747368902,-0.05980958442966666,-2.726923554535
26.636438683976,38.48277843411367,-0.05742602229133333,-2.8093543463096666
26.364638293985,38.62244925273767,-0.052183765065,-2.8903210085789994
26.092837893983,38.767524346261666,-0.04556381820266667,-2.8172562174736666
25.821037503976,38.91089345389,-0.039451823256,-2.7387702431116665
25.549237103973997,39.04833863388166,-0.031564234894,-2.6016868745026667
25.277436713985,39.18210888225567,-0.02306130720133333,-2.6537954664470003
25.005636313982,39.319085314921004,-0.016525630394666667,-2.635648639722
24.733835923975004,39.453929064677,-0.013128715219333334,-2.493356241018
24.462035533974,39.57704844401834,-0.007203256787666666,-2.376118801954333
24.190235133983,39.696165748851335,0.0006468225093333307,-2.2887360914923334
23.918434743983,39.813941441925,0.007785253611333337,-2.274641227991667
23.646634343972,39.93537631207466,0.008548556473000004,-2.391303171428667
23.374833953970995,40.06457455236733,0.007275806536000004,-2.491841586971667
23.103033553987,40.200256309413,0.010221812473333333,-2.538371383565
22.83123316398,40.33055241275333,0.012651757624333335,-2.429014241536
22.559432763975,40.447525938424,0.014681300578666664,-2.1876205775753337
22.287632373990004,40.559373598823335,0.02338788110866666,-2.1938815912643332
22.015831973983996,40.68128121862867,0.03302519026266667,-2.489552313914667
21.744031583978,40.80320387620767,0.04311253634933334,-2.3599706602356663
21.472231183972998,40.91468219350967,0.048451639097,-2.0730138922213333
21.200430793988,41.01750324621633,0.054757446019000004,-1.970729866136
20.928630393981,41.121874794880334,0.056969968642,-1.9928371935466664
20.656830003976,41.228824388031335,0.058704544879999994,-1.9914125508856666
20.385029603973,41.327561036915,0.061137827666000004,-1.9099199362183334
20.113229213982,41.4139575897,0.06757890955033333,-1.720252567315
19.841428823984,41.495676307297664,0.077546598016,-1.72214594904
19.569628423978,41.585127877802,0.08465931648999998,-1.8403246924119998
19.29782803397,41.67512601487267,0.085208748553,-1.8199583724019999
19.026027633984,41.762158871317666,0.08565531048366666,-1.6518549618866665
18.754227243975,41.84726852813534,0.08823864509200001,-1.5735395770213332
18.482426843974,41.932272456768665,0.094612134025,-1.5735598738266665
18.210626453974,42.01337483600567,0.10315274775033333,-1.6331427986553333
17.938826053978,42.09825466195533,0.10716880480166667,-1.594031821685
17.667025663978,42.17381543896866,0.11097414759699999,-1.5314643840776665
17.39522526398,42.246690868340664,0.11572323721366666,-1.4457787257203334
