y[m],u[m/s],v[m/s],vorticity[1/s]
39.442545503787,-31.374521096867337,-0.13736258443233332,17.325115070838333
39.191319099287,-32.11536748664633,-0.05299378646633333,15.587551564139
38.940092694487,-32.762208174384,-0.06791370805266667,15.287377632746
38.688866290487,-33.500675005211335,-0.07698257150366666,15.743700472487333
38.437639885488,-34.213935138484004,-0.072237562584,13.497077311666999
38.186413481486,-34.74934014330301,-0.084101039958,11.75179571889
37.935187076486,-35.294039570263,-0.09671746583333334,12.169501980481334
37.683960672488,-35.869867388069,-0.08914399994366666,12.477842763068002
37.432734267488,-36.41234519047467,-0.03701503832466666,11.402173069865666
37.181507863487,-36.842342330478665,-0.03394576998333333,9.942391503427334
36.930281458488,-37.238832568427,-0.07170942035033333,9.153237704763
36.679055054487,-37.645531703666,-0.08516427042300001,8.874123817552334
36.427828649488,-38.037559574851,-0.08693830210266668,7.694106512114666
36.176602245486,-38.34690023313967,-0.07722331358366667,6.541801202984
35.925375840487,-38.63219062342866,-0.06946700518366668,6.648205364969333
35.674149436487,-38.949896421038,-0.06022384049266668,6.750861837044333
35.422923031488,-39.247159241265,-0.047902737601,5.992612455444333
35.171696627488,-39.497777274135665,-0.04322884059933333,4.898687036159333
34.920470222489,-39.695683191751336,-0.028948923911333333,3.9574120846416663
34.669243818485,-39.86289890650167,-0.004470233412666666,3.444644915661667
34.418017413485,-40.01849328014733,0.007075656389000003,3.4056928389483336
34.166791009487,-40.17972530808766,0.015975290529,3.298795206339667
33.915564605488,-40.324650122387,0.013744094657666664,2.427718695672333
33.664338200489,-40.40679921033,0.01698706284,1.502990253007
33.41311179649,-40.461563493302,0.023489256651,1.3347402943226667
33.161885391488,-40.529212733002,0.025987562857666666,1.0260675165133335
32.910658987489,-40.559553890509,0.020607021378,0.5756265781193334
32.65943258249,-40.59225929798933,0.011899222966000001,0.24867508129500002
32.408206178485,-40.592417567473,0.007112599446666669,-0.5412695094836667
32.156979773485,-40.551814070088334,0.006818000450999999,-0.49472281951233327
31.905753369487,-40.55693339493867,0.012589125999333333,-0.10433366572733332
31.654526964483995,-40.55381772088433,0.011476417949666667,-0.6009030921040001
31.403300560484997,-40.514899568821335,0.0026264411050000006,-0.763023072677
31.152074155487,-40.501516373715,-0.006036478839333333,-0.6139737563546667
30.900847751489,-40.47988270226267,-0.014428246771999999,-0.719133794412
30.649621346489,-40.45594224121367,-0.025575206163000002,-0.650557324924
30.398394942491,-40.435035533287994,-0.03798838273,-0.650276521205
30.14716853749,-40.404808725432666,-0.04828239191166667,-0.9282542761273332
29.895942134492,-40.35882946763733,-0.056663697596000005,-1.0965139610966668
29.644715724491004,-40.315676596143,-0.06225753137266666,-1.1156361031473334
29.393489324483,-40.271383276394005,-0.06852720638,-1.1450666585343334
29.142262924483003,-40.22410706138667,-0.080797464815,-1.1805173463843335
28.891036514485,-40.17691581785667,-0.087890746565,-1.1484944561636665
28.639810114485,-40.132366673883006,-0.09475090319833333,-1.0817961020213334
28.388583704485,-40.09051877477167,-0.10100332988766665,-0.9194037596400001
28.137357304487995,-40.060412734519,-0.10886358944166667,-0.8517362080286667
27.886130894488,-40.02270881317667,-0.12325573034400002,-1.1004735838206667
27.634904494491,-39.971303567777,-0.13559047621866668,-1.247999880872
27.38367808449,-39.920260624746,-0.14634807927433333,-1.2114365307356667
27.132451684491,-39.870109009478334,-0.158081482847,-1.1836250890533333
26.881225274491,-39.820073612923665,-0.171039088124,-1.1642624755363336
26.629998874485995,-39.77207057345933,-0.18158099894000002,-1.0958447916226668
26.378772474489,-39.72730864880666,-0.19313389504300002,-1.0307701109860001
26.127546064489,-39.684384257004666,-0.20259590167866667,-1.024602421872
25.87631966449,-39.638597122754,-0.21474328975866666,-1.0958241944456666
25.62509325449,-39.59082463327433,-0.22308848129,-1.1340176119023333
25.373866854493,-39.541906607921,-0.22670511513633332,-1.0813626039503335
25.122640444493,-39.49695145240566,-0.23152334378533335,-0.9972767656706667
24.871414044481998,-39.45299939661033,-0.23680365445533336,-1.0470403707993334
24.620187634481,-39.40269382140067,-0.24148023518499998,-1.2925609218013332
24.368961234483,-39.338988610238665,-0.24890386788599997,-1.3352733340490002
24.117734834485002,-39.28345520852533,-0.257431982795,-1.1776177435086668
23.866508424485,-39.234873359756,-0.26259851902899994,-1.0324888653263333
23.615282024481,-39.19025747835233,-0.2696081756493333,-0.9870011607346667
23.364055614481,-39.14709312088467,-0.27215837516933333,-0.990658364897
23.112829214483998,-39.101450454289335,-0.27635800299266666,-1.0161148714473331
22.861602804483,-39.05579752625667,-0.287164302393,-0.9575063422386666
22.610376404485,-39.01485803992433,-0.300751306413,-0.9181009749936667
22.359149994485005,-38.972107183493335,-0.31126308397700003,-0.936384633907
22.107923594488,-38.92797967568567,-0.316159169409,-1.012631476269
21.856697184487,-38.878607334696675,-0.31420070522933335,-1.0677651770783332
21.605470784491,-38.829027439546,-0.3159499377536667,-1.0545690558546668
21.354244384493,-38.779366231832995,-0.3216506393943333,-1.0902563539530001
21.103017974492,-38.72783452032466,-0.322272416248,-1.1315926256583333
20.85179157449,-38.67104320335433,-0.3223387004,-1.229733745674
20.600565164495,-38.61170666480367,-0.3227522525816667,-1.2528529652943334
20.349338764493,-38.555108259221335,-0.32396533731866667,-1.225450302644
20.098112354492,-38.49766762936333,-0.3280039560776667,-1.2007646401269998
19.846885954495,-38.441297376166666,-0.33147640630133335,-1.2555064180170001
19.595659544494,-38.377695956004665,-0.3348506733473333,-1.3848786711616665
19.344433144497,-38.30936041932233,-0.33610108470033334,-1.5178537561563334
