T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
6,0,191997,107441,9384,6636,2608,3161,0,-1.145951246,-0.611973964,-1.873920274,2.501893556,1.50593593
6,0,190000,110000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
6,0,160000,130000,10000,10000,10000,10000,0,-1.5,0,0,0,0
6,0,220000,90000,20000,20000,20000,20000,0,-3.14159,3.15159,3.15159,3.15159,3.15159
