T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
6,0,212128,263,13623,621,1558,750,0,-0.991999162,-0.606999488,0.985999168,2.50999788,-1.01799914
6,0,180000,0,5000,0,0,0,0,-3.14159,-1.5,-3.14159,-3.14159,-3.14159
6,0,210000,3000,10000,3000,3000,3000,0,0,-0.5,0,0,0
6,0,240000,6000,20000,6000,6000,6000,0,3.15159,0.5,3.15159,3.15159,3.15159
