f,T0,oa0,oa1,oa2,oa3,oa4,oa5,oa6,ob1,ob2,ob3,ob4,ob5,ob6
T06_stoke_U020_Probe_1_(A1128).csv,6,-0.793936165,16.0422182,4.25639121,0.30998898,0.060948293,0.416383992,0.495117996,0,4.484422583,2.374784377,1.63847955,5.748782052,1.837773453
T06_stoke_U040_Probe_1_(A1128).csv,6,-2.302534046,32.58507189,8.695370524,0.393400146,0.386168233,0.325436423,0.01710653,0,4.431402546,3.813188577,1.682020012,5.993075999,1.146022519
T06_stoke_U060_Probe_1_(A1128).csv,6,-4.177677618,48.51606073,12.64755664,0.860814523,0.433561493,0.179424842,0.233011796,0,4.420877539,4.939796251,3.759265639,1.480721119,1.721135203
T06_stoke_U080_Probe_1_(A1128).csv,6,-4.504819568,63.56218968,14.61958609,1.416340549,0.308051377,0.09983405,0.284078271,0,4.378653618,5.729813111,2.731105622,4.022942325,1.468972322
T06_stoke_U100_Probe_1_(A1128).csv,6,-5.022337434,81.52571736,18.12432027,1.262146955,0.382691971,0.544768719,0.726403003,0,4.387976774,0.487957105,4.164735162,3.805618032,2.743245689
T06_stoke_U120_Probe_1_(A1128).csv,6,-5.123298357,93.55806714,22.19740934,2.825568299,1.162409715,0.658993214,0.523442895,0,4.456085576,0.901615313,3.693093106,3.795933898,3.270553772
T06_stoke_U140_Probe_1_(A1128).csv,6,-5.884727142,110.9317875,26.81842709,3.767059779,2.179704625,0.627298053,0.528104982,0,4.483483715,1.063167422,4.132602842,3.646293619,3.576209585
T06_stoke_U160_Probe_1_(A1128).csv,6,-5.285344844,123.7800482,32.03145027,4.721709855,2.862070536,1.049716677,0.529750494,0,4.506991923,1.084277905,4.363041958,2.964366287,3.04803445
