T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
12,428,154236,52613,6385,5108,2124,1128,0,-1.274998923,-0.539999544,-1.747998524,-2.912997539,0.939999206
12,0,140000,40000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
12,500,155000,50000,6000,6000,3000,3000,0,-1.5,0,0,0,0
12,1000,170000,60000,12000,12000,7000,7000,0,-2.5,3.15159,3.15159,3.15159,3.15159
