f,T0,oa0,V1,V2,V3,V4,V5,V6,phi1,phi2,phi3,phi4,phi5,phi6
2_07_U_p000_100_T06_Probe_1_(A1128).csv,6,-0.02069419231145148,4.912881555632525,0.04178329649077859,0.11730620282221738,0.019014458810286097,0.08217697872221047,0.024597755848663902,0.0,4.640381412239299,0.2066722461098941,2.6639659355204786,3.750045059121255,6.132116650695077
2_07_U_p000_200_T06_Probe_1_(A1128).csv,6,0.07864005370562897,20.287187224729102,0.0024905633524100967,1.1988002866396827,0.05117479161860795,0.3240082576010509,0.06408971575538035,0.0,2.559720694722611,5.388547709345031,2.020697448609019,4.3544757190530845,1.3849984418504808
2_07_U_p000_300_T06_Probe_1_(A1128).csv,6,-0.19095053550670427,45.2171046230985,0.525822468624686,3.017173893858974,0.15402582185341657,0.2997230278656174,0.08756507630319658,0.0,0.7201779333186058,5.421833194808078,3.2126506315390952,4.4499992206460615,3.179019654622707
2_07_U_p000_400_T06_Probe_1_(A1128).csv,6,-0.8065198712206816,77.50161775588808,0.46062288805605606,5.483966839866591,0.8325640523646084,0.8073855386013273,1.0341097887539445,0.0,5.958681418114744,5.704682198699366,2.064456998639769,2.4243409100865296,4.331973010030563
2_07_U_p000_500_T06_Probe_1_(A1128).csv,6,-0.6602732802184178,112.3639631206317,1.7766624875054462,9.682796839858973,0.5012078962611525,1.5978861807525557,0.7347186262416912,0.0,5.636538728580197,5.639288150638449,3.1524405058925526,4.009399556213118,4.646253491111909
2_07_U_p000_600_T06_Probe_1_(A1128).csv,6,0.906307749948795,154.3063887649659,1.3217094938188043,13.973275980797405,0.34992567639266364,1.188915777502013,0.19007646375794598,0.0,0.2735312397283211,5.5071149821749685,0.34234263518157726,5.086748550288855,2.1130932935124487
2_07_U_p000_700_T06_Probe_1_(A1128).csv,6,-0.4975778496044645,200.84663774691748,0.9678828929026005,17.116979189045807,1.1752206592068177,0.3667947862788789,0.9149935292662991,0.0,6.245576003561698,5.469274181016751,4.274281707868649,5.245922958100639,2.950003552463977
