y[m],u[m/s],v[m/s],vorticity[1/s]
31.810011817414004,195.50177100059068,-1.917600126001,-9.361197393709334
31.607400277214,195.96384290914168,-1.9483024215733333,-9.079171665968333
31.404788736914,196.284929906338,-1.999757732997333,-9.780658603473332
31.202177196714,196.69727786721833,-1.959395934834,-11.933107462084669
30.999565656215,197.149122443264,-1.913059228694,-12.803086757228334
30.796954116214,197.63796768856136,-1.9042800802550002,-13.799369888193999
30.594342576215,198.17658328293464,-1.8787747395643333,-14.266096772757999
30.391731035213997,198.69660857095633,-1.8392500734893333,-13.357730433384333
30.189119495215,199.17423661555733,-1.8149753547153333,-13.281507593786666
29.986507955215,199.667199605084,-1.7924748070583334,-13.774819752601333
29.783896415214,200.18452297717332,-1.770212354041,-13.487709533866665
29.581284874214003,200.67200672305466,-1.7578581126659998,-12.078686133013667
29.378673334215005,201.109535941363,-1.7324144038140001,-11.738358688998332
29.176061794215,201.57113880668135,-1.7018553502946665,-12.002667250153666
28.973450254214,202.0102068348683,-1.658378438589,-12.043497821148334
28.770838713215,202.43784982478965,-1.6384634047946667,-11.592778088919
28.568227173213,202.87906323432466,-1.6100461590909998,-11.707126019434
28.365615633214002,203.313836943483,-1.57248497103,-11.919381748307666
28.163004093213,203.76272203769634,-1.563479047533,-12.014199072327335
27.960392552213005,204.21504106973336,-1.5409985377303332,-11.747322062625999
27.757781012214,204.63612644430302,-1.5161493121493332,-11.997713513977333
27.555169472216004,205.0982748346123,-1.481785469902,-12.324898352548333
27.352557932216,205.54123950438134,-1.458205106254,-11.247318855283666
27.149946391216,205.94431604076968,-1.4387269996096668,-10.221910201355334
26.947334851217004,206.33278097972402,-1.4212980668586666,-10.297169481739
26.744723311213004,206.72158427509666,-1.4241842528359998,-10.495057187054334
26.542111771214,207.1269829767,-1.4084626793820003,-10.663023627292334
26.339500231214,207.5392840455207,-1.3569521451833335,-10.958567692118335
26.136888690215,207.92950331578467,-1.340745001728,-9.971801958984999
25.934277150212996,208.298285616101,-1.3180944949593334,-9.875508891322
25.731665610213998,208.67872014099234,-1.2719756378513332,-9.910060423571334
25.529054070214,209.03707648988168,-1.211245832106,-9.471778463599334
25.326442529213995,209.39863525136934,-1.1449176244550001,-9.439161673832666
25.123830989211,209.73345158916732,-1.1235757518610001,-8.403798854274667
24.921219449212,210.049398842834,-1.09920193442,-8.053490467483334
24.718607909212995,210.35033076057036,-1.0794954025743335,-8.109259942576665
24.515996368213,210.66599203404465,-1.064643221114,-9.181759557676333
24.313384828215003,211.034084509065,-1.0538275523733336,-10.077731386679334
24.110773288216,211.39565609590798,-1.0546465463993335,-9.510749585065
23.908161748216,211.7237925551723,-1.0532155114563333,-8.340792429194666
23.705550207217,212.01544487583269,-1.039042277348,-7.139769178336667
23.502938667218,212.26758051761803,-0.9832056719203331,-6.552517259284333
23.300327127215997,212.5050297420993,-0.9236597116723333,-6.2394638713766675
23.097715587218,212.73337971178168,-0.8818785192803333,-6.423560621421667
22.895104046218005,212.99327955096933,-0.8559877902826667,-6.638750339694667
22.692492506219,213.22620688927734,-0.8192500694603334,-6.023447169389333
22.48988096621,213.43210650111897,-0.7634393675200001,-5.668810795693666
22.287269426211,213.63695834276402,-0.7184899509323334,-5.400384726852667
22.084657885211,213.82952855115468,-0.69100027425,-4.684570021788001
21.882046350211,214.00915379003132,-0.6538010908656667,-4.773045126289333
21.679434800212004,214.18864065841834,-0.5988502438606668,-4.813797164224667
21.476823260213,214.35560665060032,-0.537930090121,-4.153092265214
21.274211720211,214.49281145206933,-0.47531251107266675,-3.6159012040613336
21.071600180212,214.631735341575,-0.426193119671,-3.133872825715333
20.868988640213,214.72601099704767,-0.40011421849866663,-2.4342737391983333
20.666377100214,214.830284308117,-0.364896088512,-2.657535867948667
20.463765560216,214.92150400192202,-0.3483808676523333,-2.253105120464
20.261154020216,215.0175896074837,-0.30904133985433335,-2.339762459144333
20.058542480218,215.09161428096934,-0.270699156136,-1.819206915041
19.855930940217,215.16599940097035,-0.224217313816,-2.155703788905333
19.653319400218,215.24161593025667,-0.21776373236533333,-1.7773641847386665
19.450707860219,215.30603545767897,-0.21294649906333332,-0.8548303321449998
19.24809632022,215.32502731021398,-0.21126605820833336,-0.62420348821
19.045484780213,215.35824028635034,-0.206926057102,-1.062816825416
18.842873240214,215.41912460464002,-0.18064400553499996,-1.249181393048
18.640261700215,215.467585282236,-0.15040986734366668,-0.47502584782233326
18.437650160217,215.49029227559868,-0.106258310073,-0.2998528941229999
18.235038620216,215.510689789282,-0.08265167317233335,0.19387690905199997
18.032427080218,215.49914895711103,-0.04069671366133334,0.012703964673666635
17.829815540219,215.501533777317,0.024147035917999993,0.14097566402199999
17.62720400022,215.48715512887034,0.11325659665333332,-0.7337873676423334
17.424592460208,215.54233046755132,0.17298909676933336,-1.0176045294209997
17.221980920209,215.56775746884765,0.19711355806633332,-0.5148567846369998
17.01936938021,215.56745876558134,0.2139661898163333,0.307606234031
16.816757840211,215.54102961009468,0.23912787087733334,0.8326866205576667
16.61414630021,215.50793489743,0.27849818448299996,1.1148741475656667
16.411534760211,215.48216150808003,0.3232613796643333,0.15139223365766682
16.208923220212,215.52615830492766,0.37199613349666666,-0.9535527379193334
16.006311680213,215.56136208300867,0.392590880429,-0.38081938333033327
15.803700140207,215.56737240857035,0.3942195477946666,0.6568241610340001
15.601088600209001,215.54218274893103,0.41950920278866666,0.8970304580406667
15.39847706021,215.534247621439,0.4615932346843333,0.24204941135833336
15.195865520211,215.528177467868,0.5055735772676666,-0.10319321364899998
