T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
9,0,146384,501,3834,270,1501,702,0,-0.987999165,0.262999778,0.80499932,-1.652998604,0.253999785
9,0,125000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159,-3.14159
9,0,145000,3000,3000,3000,3000,3000,0,0,0,0,0,0
9,0,165000,6000,6000,6000,6000,6000,0,3.15159,3.15159,3.15159,3.15159,3.15159
