T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
12,2006,103809,41297,6464,3009,4444,2477,0,-2.783997648,0.191999838,1.69299857,-1.646998609,0.983999169
12,0,80000,3000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
12,2000,100000,40000,6000,3000,4000,3000,0,-1.5,0,0,0,0
12,4000,120000,50000,12000,6000,8000,6000,0,-3.14159,3.15159,3.15159,3.15159,3.15159
