T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
12,0,118589,39326,3895,2996,541,1623,0,-1.344998864,-0.711999399,-1.982998325,1.55099869,1.593998654
12,0,100000,30000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
12,0,120000,40000,3000,3000,3000,3000,0,-1.5,0,0,0,0
12,0,140000,50000,7000,7000,7000,7000,0,-2.5,3.15159,3.15159,3.15159,3.15159
