Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/6/30 上午 09:41:04,-43.93000,-2.27000,1.19000,111.00000,108.00000,106.00000,73.00000,90.00000,93.00000,28.81000,28.38000,33.54000,30.24333,43.98861,267.04198,-15.00333,108.33333,85.33333
2,2023/6/30 上午 09:41:04,-51.45000,-3.09000,1.50000,104.00000,99.00000,97.00000,82.00000,90.00000,95.00000,25.80000,24.51000,29.67000,26.66000,51.54271,266.56304,-17.68000,100.00000,89.00000
3,2023/6/30 上午 09:41:04,-50.28000,-1.13000,1.13000,107.00000,97.00000,100.00000,89.00000,91.00000,92.00000,27.09000,23.65000,30.96000,27.23333,50.29270,268.71254,-16.76000,101.33333,90.66667
4,2023/6/30 上午 09:41:04,-51.57000,-2.06000,-0.22000,101.00000,95.00000,96.00000,83.00000,88.00000,95.00000,24.51000,22.79000,29.24000,25.51333,51.61113,267.71250,-17.95000,97.33333,88.66667
5,2023/6/30 上午 09:41:04,-50.69000,1.66000,0.62000,88.00000,89.00000,82.00000,57.00000,83.00000,89.00000,18.92000,20.21000,23.22000,20.78333,50.71717,271.87566,-16.13667,86.33333,76.33333
6,2023/6/30 上午 09:41:04,-54.66000,-0.71000,-1.07000,100.00000,93.00000,83.00000,79.00000,83.00000,90.00000,24.08000,21.93000,23.65000,23.22000,54.66461,269.25580,-18.81333,92.00000,84.00000
7,2023/6/30 上午 09:41:04,-55.53000,-1.71000,-1.00000,87.00000,81.00000,89.00000,68.00000,91.00000,92.00000,18.49000,16.77000,26.23000,20.49667,55.55632,268.23618,-19.41333,85.66667,83.66667
8,2023/6/30 上午 09:41:04,-55.01000,-0.87000,-1.28000,109.00000,112.00000,109.00000,80.00000,97.00000,95.00000,27.95000,30.10000,34.83000,30.96000,55.01688,269.09393,-19.05333,110.00000,90.66667
9,2023/6/30 上午 09:41:04,-54.29000,-3.38000,-0.78000,95.00000,97.00000,96.00000,72.00000,86.00000,95.00000,21.93000,23.65000,29.24000,24.94000,54.39512,266.43746,-19.48333,96.00000,84.33333
10,2023/6/30 上午 09:41:04,-57.15000,-0.96000,-1.00000,103.00000,99.00000,98.00000,83.00000,90.00000,94.00000,25.37000,24.51000,30.10000,26.66000,57.15806,269.03764,-19.70333,100.00000,89.00000
11,2023/6/30 上午 09:41:04,-55.31000,-1.76000,-0.15000,107.00000,101.00000,93.00000,88.00000,89.00000,95.00000,27.09000,25.37000,27.95000,26.80333,55.33799,268.17743,-19.07333,100.33333,90.66667
12,2023/6/30 上午 09:41:04,-55.95000,-3.29000,1.07000,93.00000,84.00000,78.00000,69.00000,82.00000,92.00000,21.07000,18.06000,21.50000,20.21000,56.04664,266.63474,-19.39000,85.00000,81.00000
13,2023/6/30 上午 09:41:04,-56.62000,-0.52000,0.20000,73.00000,75.00000,60.00000,65.00000,79.00000,92.00000,12.47000,14.19000,13.76000,13.47333,56.62239,269.47381,-18.98000,69.33333,78.66667
14,2023/6/30 上午 09:41:04,-52.05000,-4.96000,0.00000,69.00000,71.00000,67.00000,51.00000,81.00000,90.00000,10.75000,12.47000,16.77000,13.33000,52.28579,264.55655,-19.00333,69.00000,74.00000
