y[m],u[m/s],v[m/s],vorticity[1/s]
39.021294183386,58.094421066904,-0.15222567024066666,-43.761907249703334
38.772750910486,60.08396847228633,-0.16706629077066668,-36.87234050044567
38.524207637486,61.42029066947867,-0.17723648009866666,-29.928519096515
38.275664364886,62.747082389317,-0.163230957632,-28.263559060358663
38.027121091885,63.93134775812367,-0.145462469398,-24.54816790211167
37.778577818885,64.92447612478134,-0.14047724363900002,-21.736489022996665
37.530034545885,65.87561688777167,-0.12613420407933332,-19.969914136698666
37.281491272885,66.70083496849833,-0.10917166200966666,-17.462943231531334
37.032947999886,67.42216722582232,-0.109321739596,-15.273088314741335
36.784404726886,68.04977762025966,-0.10871285241533335,-13.437471016327668
36.535861453885,68.60713158552467,-0.10150432402633332,-12.396451681832
36.287318180886,69.138794401269,-0.078850696289,-11.481669852319001
36.038774907885,69.61436200161334,-0.058354579454,-10.038117338048332
35.790231634886,70.022756360043,-0.045611616468,-9.235036420202
35.541688361885,70.42735636710734,-0.038938184725666666,-8.747551966397
35.293145088887,70.79523183459901,-0.025596116265333337,-7.867042368730334
35.044601815884,71.12023197479566,-0.023862289546333335,-7.439354929388
34.796058542887,71.44510015323166,-0.017663854046333333,-7.106727721257333
34.547515269885,71.74362377811933,0.0042611876560000005,-6.939426904512
34.298971996887,72.050081626731,0.018596571100333335,-6.928532244545
34.050428723885,72.35734635058134,0.04156646506066667,-6.511142458170333
33.801885450888,72.62172104988167,0.07148628151166667,-6.035622341811667
33.553342177885,72.877037718734,0.09431263188933332,-6.027246237690001
33.304798904885,73.14346816404533,0.10155776376233333,-6.258291699425333
33.056255631886,73.41536905368334,0.11311997788733334,-6.125263416991667
32.807712358888,73.66442059747133,0.12502321716633333,-5.727982013544334
32.559169085884,73.90769759246633,0.13270056884866666,-5.831026558082666
32.310625812885,74.173147640267,0.13493473729466665,-6.245573429189
32.062082539888,74.43963065614501,0.1373983145876667,-6.0871266326706674
31.813539266889,74.69849253445399,0.139881789273,-5.709644935965333
31.564995993885002,74.94156770075067,0.15644596080266668,-5.598688892350334
31.316452720885,75.184217123754,0.17554852809566665,-5.4742000848100005
31.06790944789,75.42339192774166,0.2076417860583333,-5.520055103683667
30.819366174889996,75.66341463161966,0.23539462520133334,-5.584909620512334
30.570822901886,75.90208309896998,0.2562773469836666,-5.415619356368
30.322279628882,76.12771621055167,0.2758979014076666,-5.310116544142333
30.073736355881,76.36592662299267,0.29494212207066667,-5.394899048490667
29.825193082887996,76.593984871831,0.3079176521393333,-5.474974190577666
29.576649809887,76.82437085155966,0.317220354728,-5.514239803153334
29.328106532884004,77.05682919760801,0.32501718671866664,-5.614000627875332
29.079563262881,77.29750386476533,0.3343246900636667,-5.5169768637139995
28.831019992889,77.52660804403668,0.339922966703,-5.326356079158
28.582476722889,77.744587519,0.3356991974113333,-5.086894139380667
28.333933442884,77.95765517282099,0.3264088399026666,-5.037424590352
28.085390172882,78.171054232187,0.3298767797643333,-5.113359426397333
27.836846902891,78.39805718356767,0.340309941058,-5.1883690592323335
27.588303622884,78.62070373945666,0.3503607751246667,-5.0068996570053335
27.339760352883,78.82740378523134,0.358656913235,-4.861759242665001
27.091217082886,79.03511952353067,0.37023052106000004,-4.839225497565
26.842673802885,79.24132941990666,0.3783893508416667,-4.788797525732334
26.594130532888,79.43986864532167,0.3926476488326667,-4.830023060146333
26.345587262889996,79.64495000815367,0.4103616348876667,-4.790838689966667
26.097043992882003,79.84528944803866,0.4164884773206667,-4.803486889308666
25.848500712891,80.04832424785467,0.4224906706596667,-4.842964990605666
25.599957442884,80.25511970162766,0.442594350997,-4.720673385015667
25.351414172887,80.45469016064334,0.4542675305936667,-4.781873096268667
25.102870892887996,80.66417293478735,0.455788977199,-5.0100630848593335
24.854327622886,80.87976259573865,0.452026952715,-4.845720035062333
24.60578435289,81.07893010577034,0.45705367579033335,-4.606951614982
24.357241072892,81.27313075402233,0.46534184812600005,-4.429341911471334
24.108697802883,81.44989091926999,0.476034331204,-4.134661991131
23.860154532886998,81.61838652603967,0.48675281795599995,-3.959786326383
23.611611262883,81.78039523901235,0.5055976191520001,-3.9126813839576666
23.363067982885998,81.95239051337234,0.5235126724589999,-4.020306851110333
23.114524712891,82.12636847975067,0.5343040253493333,-4.059292998080333
22.865981442880997,82.301470207115,0.5422769284596667,-3.956140604708
22.617438162889,82.47017097035433,0.5549419950796667,-3.6789882678840002
22.368894892879,82.62161398202733,0.566656672429,-3.603106939454
22.120351622884,82.781818931183,0.5779688326486666,-3.592846313466
21.871808342888,82.934418154982,0.5785373844513334,-3.4721697789623334
21.623265072881,83.09072559598934,0.5803874169123333,-3.647750069568
21.374721802889,83.25688905620267,0.5773235793556667,-3.6878697254353336
21.126178532896,83.418650440056,0.5836639640083333,-3.292849737936
20.87763525288,83.55345894672301,0.5880081262136666,-2.9817181166756668
20.629091982893,83.68461344339467,0.588325951364,-2.887036341285333
20.38054871288,83.81029982223333,0.5804769918216667,-2.6699753861913336
20.132005432883,83.92202493852567,0.57954311808,-2.3364308602133335
19.883462162892,84.02385978189899,0.5838490067656666,-2.0545003521963334
19.634918892878,84.116437689671,0.5931389028283333,-1.964932371063
19.386375622891,84.211399222546,0.580196375789,-2.0490428609946667
19.137832342896,84.31035072139501,0.55642073205,-2.020328710441667
18.889289072881,84.41173207179567,0.541043651607,-2.059852899984
18.640745802891,84.51314324717366,0.5338783987319999,-2.020897643160333
18.392202522878,84.60865120828967,0.5295884369626667,-1.8031994479740001
18.143659252885,84.68888585857967,0.515147169523,-1.7701492109660002
