T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
12,0,310081,88,23415,245,7930,3365,0,-1.127999047,-0.057999951,0.565999522,-0.657999444,-0.040999965
12,0,290000,0,12000,0,2000,0,0,-3.14159,-3.14159,-3.14159,-3.14159,-3.14159
12,0,310000,2000,20000,2000,5000,5000,0,0,0,0,0,0
12,0,330000,5000,32000,5000,15000,15000,0,3.15159,3.15159,3.15159,3.15159,3.15159
