V0,V1,V2,V3,V4,V5,V6,phi1,phi2,phi3,phi4,phi5,phi6,Umax
0,16,4,0,0,0,0,0,4.71238898,0,0,0,0,20
0,32,8,0,0,0,0,0,4.71238898,0,0,0,0,40
0,48,12,0,0,0,0,0,4.71238898,0,0,0,0,60
0,64,16,0,0,0,0,0,4.71238898,0,0,0,0,80
0,80,20,0,0,0,0,0,4.71238898,0,0,0,0,100
0,96,24,0,0,0,0,0,4.71238898,0,0,0,0,120
0,112,28,0,0,0,0,0,4.71238898,0,0,0,0,140
0,128,32,0,0,0,0,0,4.71238898,0,0,0,0,160
