f,T0,oa0,oa1,oa2,oa3,oa4,oa5,oa6,ob1,ob2,ob3,ob4,ob5,ob6
T09_sin_U020_Probe_1_(A1128).csv,9,-0.124241551,18.35980388,0.17027944,0.434383551,0.178262192,0.262408993,0.136420393,0,0.635942776,4.187888274,2.833744838,4.838039427,3.913025562
T09_sin_U040_Probe_1_(A1128).csv,9,-0.58788399,34.95281816,0.439539961,0.848353652,0.320244589,0.52126579,0.230204174,0,0.895576037,5.62219544,2.465469979,2.492722231,4.353464101
T09_sin_U060_Probe_1_(A1128).csv,9,0.032241192,54.48463271,0.490872124,1.973125536,0.745791801,0.535450498,0.367423856,0,0.300977092,6.02286641,4.204791328,2.970165677,2.773533448
T09_sin_U080_Probe_1_(A1128).csv,9,-1.203080602,76.1634352,0.435873492,3.450262942,0.062793196,0.507284442,0.628505553,0,6.054670632,0.023347658,4.518418308,1.516236016,1.851135249
T09_sin_U100_Probe_1_(A1128).csv,9,-1.325162702,94.97575745,1.054547341,4.923289384,0.86978912,0.708583072,0.572404487,0,0.29180737,0.279365324,0.895902824,1.202100385,2.009052014
T09_sin_U120_Probe_1_(A1128).csv,9,-1.413554371,120.8178758,0.924475327,6.744213558,0.635440423,0.682395809,0.464814013,0,6.123322315,0.194076715,1.391305793,0.620884981,2.998893437
T09_sin_U140_Probe_1_(A1128).csv,9,-1.627567323,133.8220378,0.40219279,8.285603267,0.197947949,1.230247033,0.921727144,0,5.48617129,0.136022644,3.806179365,0.021127122,3.524942314
T09_sin_U160_Probe_1_(A1128).csv,9,-2.17277047,152.6937733,1.057461313,9.849782391,1.370880963,1.387234622,1.059026445,0,1.015091498,0.429092421,2.535492849,0.940872758,4.2796446
