T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
6,0,173946,39,9474,1016,8788,3455,0,-2.217,-0.764,0.545,1.259,1.579
6,0,167000,0,0,0,0,0,0,-3.14159,-1.5,-3.14159,-3.14159,-3.14159
6,0,175000,2000,7500,4000,7500,4000,0,0,0,0,0,0
6,0,183000,4000,15000,8000,15000,8000,0,3.15159,1.5,3.15159,3.15159,3.15159
