T,R0,R1,R2,R3,R4,R5,R6,phi1,phi2,phi3,phi4,phi5,phi6
12,0,26743,6320,446,480,469,713,0,-1.469998758,-0.787999334,-0.370999687,-0.299999747,0.387999672
12,0,22000,2000,0,0,0,0,0,0,-3.14159,-3.14159,-3.14159,-3.14159
12,0,27000,6000,2000,2000,2000,2000,0,-1.5,0,0,0,0
12,0,32000,10000,4000,4000,4000,4000,0,-2.5,3.15159,3.15159,3.15159,3.15159
